community,hexon,penton,other,total
0,241,0,0,241
1,266,0,5,271
2,628,0,0,628
3,483,0,0,483
4,544,0,53,597
5,280,0,0,280
6,377,0,0,377
7,269,0,0,269
8,352,6,0,358
9,123,13,0,136
10,577,0,23,600
11,599,0,0,599
12,0,165,0,165
13,301,0,10,311
14,0,271,0,271
15,432,0,34,466
16,131,0,0,131
17,499,0,0,499
18,275,0,0,275
19,414,0,0,414
20,227,0,0,227
21,52,0,0,52
22,465,0,0,465
23,155,0,0,155
24,290,0,0,290
25,41,0,0,41
26,422,0,0,422
27,315,0,5,320
28,237,0,0,237
29,457,0,0,457
30,490,0,0,490
31,399,0,0,399
32,259,0,0,259
33,546,0,0,546
34,429,0,0,429
35,384,0,0,384
